"key","time","date","site","transect","flight_time","depth","heading","temp","groundSpeed","lat","lon","DVLx","DVLy","altitude","seq","DVLlat","DVLlon","EucDIS","width","height","area"
"7_3","13:23:08","9/6/2023",7,3,"00:09:41",-10.60704,116,55.26,0.1,0,0,-82.9,127.1,0.85,145.616666666667,47.6172576954932,-122.359751686407,0.204232640088684,2.38331210060977,1.04176133983788,2.48284240718308
"7_3","13:23:16","9/6/2023",7,3,"00:09:49",-10.48512,116,55.26,0.1,0,0,-84.2,129.5,0.96,145.75,47.6172530243171,-122.359738893038,0.165133795932719,2.69174072539456,1.17657751322867,3.16704160894107
"7_3","13:23:24","9/6/2023",7,3,"00:09:57",-10.54608,115,55.26,0.1,0,0,-85.3,132.6,0.85,145.883333333333,47.6172490717834,-122.35972236827,0.126635918588322,2.38331210060977,1.04176133983788,2.48284240718308
"7_3","13:23:32","9/6/2023",7,3,"00:10:05",-10.5156,112,55.26,0.1,0,0,-86.2,135.5,0.82,146.016666666667,47.6172458378922,-122.359706909616,0.200069853391639,2.29919520294119,1.00499329254949,2.31067575721786
"7_3","13:23:40","9/6/2023",7,3,"00:10:13",-10.45464,113,55.26,0.1,0,0,-87.9,138.1,0.88,146.15,47.6172397294311,-122.359693050134,0.23338758852973,2.46742899827835,1.07852938712628,2.66119468529076
"7_3","13:23:48","9/6/2023",7,3,"00:10:21",-10.45464,112,55.26,0.2,0,0,-89.5,140.9,0.87,146.283333333333,47.6172339802912,-122.359678124537,0.233387607952382,2.43939003238882,1.06627337136348,2.6010566339057
"7_3","13:23:56","9/6/2023",7,3,"00:10:29",-10.48512,115,55.26,0.1,0,0,-92.4,144.4,0.88,146.416666666667,47.6172235599752,-122.359659467541,0.233051444096156,2.46742899827835,1.07852938712628,2.66119468529076
"7_3","13:24:04","9/6/2023",7,3,"00:10:37",-10.45464,118,55.29,0.2,0,0,-93.8,147.9,0.86,146.55,47.6172185294778,-122.359640810545,0.204232788551393,2.4113510664993,1.05401735560068,2.54160587453648
"7_3","13:24:12","9/6/2023",7,3,"00:10:45",-10.39368,116,55.26,0.1,0,0,-96.4,150.7,0.98,146.683333333333,47.6172091871255,-122.359625884948,0.165133928958161,2.74781865717362,1.20108954475427,3.30037626001194
"7_3","13:24:20","9/6/2023",7,3,"00:10:53",-10.45464,116,55.26,0.2,0,0,-98.5,154.2,0.92,146.816666666667,47.6172016413794,-122.359607227952,0.204232850533803,2.57958486183646,1.12755345017747,2.90861981098928
"7_3","13:24:28","9/6/2023",7,3,"00:11:01",-10.45464,116,55.29,0.2,0,0,-100.7,157.5,0.89,146.95,47.6171937363121,-122.35958963707,0.200069983654208,2.49546796416788,1.09078540288908,2.72202002869165
"7_3","13:24:36","9/6/2023",7,3,"00:11:09",-10.30224,117,55.26,0.2,0,0,-103.1,160.4,1,147.083333333333,47.6171851126023,-122.359574178416,0.215628434118253,2.80389658895267,1.22560157627986,3.43646007914613
"7_3","13:24:44","9/6/2023",7,3,"00:11:17",-10.33272,116,55.26,0.1,0,0,-104.6,163.4,0.98,147.216666666667,47.6171797227837,-122.359558186706,0.113128174228801,2.74781865717362,1.20108954475427,3.30037626001194
"7_3","13:24:52","9/6/2023",7,3,"00:11:25",-10.33272,116,55.29,0.1,0,0,-106.4,165.1,1.02,147.35,47.6171732550013,-122.359549124736,0.113128180118786,2.85997452073173,1.25011360780546,3.57529306634363
"7_3","13:25:00","9/6/2023",7,3,"00:11:33",-10.39368,116,55.29,0.2,0,0,-109.1,168.9,0.99,147.483333333333,47.6171635533278,-122.359528868569,0.268553614200535,2.77585762306314,1.21334556051707,3.36807452357112
"7_3","13:25:08","9/6/2023",7,3,"00:11:41",-10.30224,115,55.29,0.1,0,0,-110.1,171.8,1.05,147.616666666667,47.6171599601153,-122.359513409915,0.056564097887618,2.94409141840031,1.28688165509386,3.78869723725861
"7_3","13:25:16","9/6/2023",7,3,"00:11:49",-10.39368,111,55.29,0.2,0,0,-111.3,174.3,0.95,147.75,47.6171556482604,-122.35950008349,0.169692298383419,2.66370175950504,1.16432149746587,3.10140522142938
"7_3","13:25:24","9/6/2023",7,3,"00:11:57",-10.39368,110,55.29,0.2,0,0,-114,178,0.97,147.883333333333,47.6171459465869,-122.35948036038,0.215628574746827,2.71977969128409,1.18883352899147,3.23336528846859
"7_3","13:25:32","9/6/2023",7,3,"00:12:05",-10.39368,110,55.29,0.1,0,0,-115,181.4,0.85,148.016666666667,47.6171423533745,-122.359462236441,0.204233075273805,2.38331210060977,1.04176133983788,2.48284240718308
"7_3","13:25:40","9/6/2023",7,3,"00:12:13",-10.39368,110,55.29,0.1,0,0,-116.5,184.7,0.8,148.15,47.6171369635558,-122.359444645559,0.22625643942419,2.24311727116214,0.980481261023891,2.19933445065352
"7_3","13:25:48","9/6/2023",7,3,"00:12:21",-10.3632,110,55.29,0.1,0,0,-117.9,188.2,0.78,148.283333333333,47.6171319330585,-122.359425988563,0.169692337009444,2.18703933938308,0.955969229498294,2.0907423121525
"7_3","13:25:56","9/6/2023",7,3,"00:12:29",-10.33272,111,55.29,0.2,0,0,-118.5,190.3,0.75,148.416666666667,47.617129777131,-122.359414794365,0.16513416751765,2.1029224417145,0.919201182209898,1.9330087945197
"7_3","13:26:04","9/6/2023",7,3,"00:12:37",-10.33272,112,55.31,0.1,0,0,-118.9,191.9,0.7,148.55,47.617128339846,-122.359406265453,0.169692345612304,1.96272761226687,0.857921103395905,1.6838654387816
